"","","","Ysbyty George Thomas ",14.669167
"","","","Ysbyty Cwm Cynon ",125.058334
"","","","Mental Health Services at Royal Glamorgan ",74.858333
"","","","St Tydfils Hospital ","."
"","","","Dewi Sant Hospital ","."
"","","","Ysbyty Cwm Rhondda ",111.004167
"","","","Pontypridd & District Hospital ",5.919167
"","","","Llwynypia Hospital ","."
"","","","Mountain Ash General Hospital ","."
"","","","Aberdare General Hospital ","."
"","","","Prince Charles Hospital ",388.083334
"","","","The Royal Glamorgan Hospital ",459.196667
"","","","Pinewood House ",15.8975
"","Velindre NHS Trust ","Velindre Cancer Centre (Velindre Hospital) ","",40


